#,Condom�nio,Endere�o,Bairro,Cidade,Estado,CEP,  Unidade,Lat,Long
1,Al Mare,Avenida Saturnino Rangel Mauro 3518,Praia de Itaparica,VILA VELHA,ES,29102-036,88,-20.382998,-40.311888
2,Albino Luciani,Avenida Antonio Gil Veloso 340,Praia da Costa,VILA VELHA,ES,29101-011,26,,
3,Aldeia da Barra,Avenida Seringal 515,Ulisses Guimaraes,VILA VELHA,ES,29127-380,72,-20.4504327,-40.3530554
4,Antonio Carlos,Rua Di�genes Malacarne 200,Praia da Costa,VILA VELHA,ES,29101-210,36,,
5,Aquarela,Rua Luiz Fernandes dos Reis,Praia da Costa,VILA VELHA,ES,29101-120,72,,
6,Armando Negreiros,Avenida Estudante Jose Julio de Souza 2800,Praia de Itaparica,VILA VELHA,ES,29102-010,28,,
7,Associa��o Nobles,Rua Joseph Zogaib 20,Praia da Costa,VILA VELHA,ES,29101-270,36,,
8,Atlanta,Avenida Desembargador Augusto Botelho 928,Praia da Costa,VILA VELHA,ES,29101-110,16,,
9,Belvedere,Rua da Limeira 20,Itapu�,VILA VELHA,ES,29101-630,60,,
10,Bevilacqua,Avenida Henrique Moscoso 544,Praia da Costa,VILA VELHA,ES,29101-010,40,,
11,Caravellas,Rua Curitiba 794,Itapu�,VILA VELHA,ES,29102-569,56,,
12,Carlos Berger,Rua Henrique Laranja 264,Centro,VILA VELHA,ES,29100-350,25,,
13,Caterina da Vinci,Rua Humberto Serrano 201,Praia da Costa,VILA VELHA,ES,29101-460,48,,
14,Cedro do L�bano,Avenida Hugo Musso 929,Praia da Costa,VILA VELHA,ES,29101-785,36,,
15,Central Park,Rua Professor Augusto Rusch 285,Praia de Itaparica,VILA VELHA,ES,29102-080,60,,
16,Champagnat Ville,Rua Joseph Zgaib 250,Praia da Costa,VILA VELHA,ES,29101-270,30,,
17,Corais de Ubu,Rua Luiz Fernandes Reis 513,Praia da Costa,VILA VELHA,ES,29101-120,36,,
18,Costa do Atl�ntico,Rua Jo�o Joaquim da Mota 55,Praia da Costa,VILA VELHA,ES,29101-200,37,,
19,Costa Dourada,Rua Jo�o Joaquim da Mota 275,Praia da Costa,VILA VELHA,ES,29101-200,54,,
20,Debret,Rodovia do Sol 2950,Praia de Itaparica,VILA VELHA,ES,29102-020,70,,
21,Eco Itaparica,Av. Saturnino Rangel Mauro 3500,Praia de Itaparica,VILA VELHA,ES,29102-265,85,,
22,Ecolife da Vila,Avenida Transversal 72,Ataide,VILA VELHA,ES,29119-360,60,,
